id_user;name;username;rating;date;nama_objek;id_objek;;
19464;Vegas_Vacation12;/Profile/Vegas_Vacation12;40;17-Jun;Agrowisata Teba Sari Bali;998;;
19701;Vonpay;/Profile/Vonpay;30;19-Feb;Agrowisata Teba Sari Bali;998;;
20789;Yvettemoon;/Profile/Yvettemoon;40;18-Nov;Agrowisata Teba Sari Bali;998;;
298;125emc;/Profile/125emc;40;Agt 2017;Air Panas Banjar;997;;
687;adelman2017;/Profile/adelman2017;50;Okt 2019;Air Panas Banjar;997;;
705;Adhi A;/Profile/AdhiA84;50;Okt 2017;Air Panas Banjar;997;;
991;Agus Pranata;/Profile/pagus33;50;Okt 2017;Air Panas Banjar;997;;
1445;AmaDarmayanti;/Profile/AmaDarmayanti;40;Mar-16;Air Panas Banjar;997;;
1958;AnisaMuslicha;/Profile/AnisaMuslicha;30;Jul-15;Air Panas Banjar;997;;
1988;Anjna Global;/Profile/anjnaglobal;50;Jul-19;Air Panas Banjar;997;;
2033;anne_bees58;/Profile/anne_bees58;40;Jul-19;Air Panas Banjar;997;;
2658;Aswathy S;/Profile/aswathys;30;Mar-19;Air Panas Banjar;997;;
2789;Awik;/Profile/Awik;40;Sep-19;Air Panas Banjar;997;;
3035;Baliroadtrip;/Profile/Baliroadtrip;30;Des 2012;Air Panas Banjar;997;;
3148;BawaOBawa;/Profile/BawaOBawa;40;Jul-17;Air Panas Banjar;997;;
3205;Becksm1;/Profile/Becksm1;50;Okt 2018;Air Panas Banjar;997;;
3228;belgianguy1;/Profile/belgianguy1;40;Agt 2016;Air Panas Banjar;997;;
3231;Belinda M;/Profile/674belindam;30;Jul-17;Air Panas Banjar;997;;
3338;bethoshaughnessy1964;/Profile/bethoshaughnessy1964;40;Feb-20;Air Panas Banjar;997;;
3462;BMDEE;/Profile/BMDEE;40;Sep-19;Air Panas Banjar;997;;
3715;Bunny0016;/Profile/Bunny0016;30;Mei 2017;Air Panas Banjar;997;;
3774;Caleymay;/Profile/Caleymay;40;Nov-18;Air Panas Banjar;997;;
4042;CHD6265;/Profile/CHD6265;20;Mei 2017;Air Panas Banjar;997;;
4380;copyrabbit;/Profile/copyrabbit;20;Jun-17;Air Panas Banjar;997;;
4485;Cyclebuddies;/Profile/Cyclebuddies;30;Jun-17;Air Panas Banjar;997;;
4669;Darius.deys;/Profile/Darius_jani;40;Nov-19;Air Panas Banjar;997;;
4843;Deborah W;/Profile/deborahwJ1391HS;40;Agt 2019;Air Panas Banjar;997;;
6014;Eka D;/Profile/EkaD264;50;Des 2016;Air Panas Banjar;997;;
6026;Eka S;/Profile/697ekas;40;Nov-15;Air Panas Banjar;997;;
6026;Eka S;/Profile/796ekas;30;Okt 2015;Air Panas Banjar;997;;
6419;Erja R;/Profile/92erjar;30;Agt 2017;Air Panas Banjar;997;;
6484;Ery I;/Profile/eryindra_;40;Jun-17;Air Panas Banjar;997;;
6642;Extraordinary Marj;/Profile/ExtraordinaryMarj;40;Mar-19;Air Panas Banjar;997;;
7043;FerdyDenny_Tulong;/Profile/FerdyDenny_Tulong;30;Nov-17;Air Panas Banjar;997;;
7477;Gandhi Frans;/Profile/gandhifrans;40;Sep-19;Air Panas Banjar;997;;
7840;GREWOR;/Profile/GREWOR;40;Nov-14;Air Panas Banjar;997;;
7893;Guntur Holzapfel;/Profile/Guntur_holzapfel;50;Mar-19;Air Panas Banjar;997;;
8027;han bali transport;/Profile/hanbalitrans;50;Nov-18;Air Panas Banjar;997;;
8710;Ian L;/Profile/ianl136;50;Feb-19;Air Panas Banjar;997;;
8720;ianw349;/Profile/ianw349;30;Jul-17;Air Panas Banjar;997;;
8774;Idabagusreza;/Profile/Idabagusreza;40;Mei 2017;Air Panas Banjar;997;;
9282;Isabel B;/Profile/isabelbJ5752KR;20;Jul-19;Air Panas Banjar;997;;
9428;Izabela C;/Profile/318izabelac;50;Agt 2019;Air Panas Banjar;997;;
9480;JackSwets;/Profile/JackSwets;40;Sep-19;Air Panas Banjar;997;;
9564;Jan C;/Profile/jancX9453JI;50;Nov-18;Air Panas Banjar;997;;
9681;Jaya Wisesa;/Profile/Jaya_Wisesa;50;Jul-15;Air Panas Banjar;997;;
9750;jemi_kan;/Profile/jemi_kan;50;Agt 2015;Air Panas Banjar;997;;
9751;Jemi05;/Profile/Jemi05;40;Nov-14;Air Panas Banjar;997;;
9753;Jemima D;/Profile/894jemimad;30;Apr-19;Air Panas Banjar;997;;
9808;Jeroen H;/Profile/JeroenH951;20;Agt 2017;Air Panas Banjar;997;;
9848;Jessievoyageur;/Profile/Jessievoyageur;50;Des 2018;Air Panas Banjar;997;;
